domain_name,org
nationalhousing.gov,Department of Housing and Urban Development
nationalhousinglocator.gov,Department of Housing and Urban Development
nationalmap.gov,Department of the Interior
nationsreportcard.gov,Department of Education
navycash.gov,Department of Treasury
nbib.gov,Office of Personnel Management
nccs.gov,Department of Energy
ncifcrf.gov,Department of Health and Human Services
ncifcrf.gov,National Institutes of Health
ncirc.gov,Department of Justice
ncjrs.gov,Department of Justice
ncrc.gov,Department of Energy
neglecteddiseases.gov,USAID
nehrp.gov,Department of Commerce
nemi.gov,Department of the Interior
nepa.gov,Executive Office of the President
nersc.gov,Department of Energy
neup.gov,Department of Energy
nfpors.gov,Department of the Interior
nhl.gov,Department of Housing and Urban Development
nhtsa.gov,Department of Transportation
nic.gov,General Services Administration
nicic.gov,Department of Justice
nicsezcheckfbi.gov,Department of Justice
niem.gov,Department of Homeland Security
nifc.gov,Department of the Interior
nih.gov,Department of Health and Human Services
nih.gov,National Institutes of Health
nij.gov,Department of Justice
nist.gov,Department of Commerce
nist.gov,National Institute of Standards and Technology
nlm.gov,Department of Health and Human Services
nlm.gov,National Institutes of Health
nls.gov,Department of Housing and Urban Development
nmvtis.gov,Department of Justice
nnlm.gov,Department of Health and Human Services
nnlm.gov,National Institutes of Health
noaa.gov,National Oceanic and Atmospheric Administration
nps.gov,U.S. National Park Service
nrc-gateway.gov,Nuclear Regulatory Commission
nrc.gov,Nuclear Regulatory Commission
nrel.gov,Department of Energy
nsf.gov,National Science Foundation
nsopr.gov,Department of Justice
nsopw.gov,Department of Justice
ntia.gov,Department of Commerce
ntis.gov,Department of Commerce
nuclear.gov,Department of Energy
nutrition.gov,Department of Agriculture
nvtc.gov,Department of Justice
nwbc.gov,Small Business Administration
occ.gov,Department of Treasury
occhelps.gov,Department of Treasury
ojjdp.gov,Department of Justice
ojp.gov,Department of Justice
omb.gov,Executive Office of the President
ondcp.gov,Executive Office of the President
onhir.gov,Department of the Interior
onrr.gov,Department of the Interior
opioids.gov,Department of Health and Human Services
opm.gov,Office of Personnel Management
opportunityzones.gov,Department of Housing and Urban Development
orau.gov,Department of Energy
organdonor.gov,Department of Health and Human Services
ornl.gov,Department of Energy
osac.gov,Department of State
osha.gov,Department of Labor
osmre.gov,Department of the Interior
osti.gov,Department of Energy
ostp.gov,Executive Office of the President
ots.gov,Department of Treasury
ovc.gov,Department of Justice
ovcttac.gov,Department of Justice
pandemicflu.gov,Department of Health and Human Services
papahanaumokuakea.gov,Department of Commerce
pay.gov,Department of Treasury
paymentaccuracy.gov,General Services Administration
pbrb.gov,General Services Administration
pci.gov,Executive Office of the President
pepfar.gov,Department of State
performance.gov,General Services Administration
phe.gov,Department of Health and Human Services
pic.gov,General Services Administration
piedrasblancas.gov,Department of the Interior
pif.gov,General Services Administration
pitc.gov,Executive Office of the President
plainlanguage.gov,General Services Administration
pmf.gov,Office of Personnel Management
pmi.gov,USAID
pnl.gov,Department of Energy
pnnl.gov,Department of Energy
pppl.gov,Department of Energy
pregunteleakaren.gov,Department of Agriculture
presidentialinnovationfellows.gov,General Services Administration
privacyshield.gov,Department of Commerce
projectsafechildhood.gov,Department of Justice
projectsafeneighborhoods.gov,Department of Justice
psc.gov,Department of Health and Human Services
pscr.gov,Department of Commerce
psob.gov,Department of Justice
pubmed.gov,Department of Health and Human Services
pubmed.gov,National Institutes of Health
qatesttwai.gov,Department of Treasury
quantum.gov,National Science Foundation
rcfl.gov,Department of Justice
reach.gov,Department of Veterans Affairs
ready.gov,Department of Homeland Security
readybusiness.gov,Federal Emergency Management Agency
realestatesales.gov,General Services Administration
realpropertyprofile.gov,General Services Administration
rec.gov,Department of Agriculture
recoverymonth.gov,Department of Health and Human Services
recreation.gov,Department of Agriculture
reginfo.gov,General Services Administration
regulations.gov,General Services Administration
relocatefeds.gov,Environmental Protection Agency
reo.gov,Department of Agriculture
reportband.gov,Department of the Interior
reporting.gov,General Services Administration
research.gov,National Science Foundation
rivers.gov,Department of the Interior
rocis.gov,General Services Administration
sac.gov,National Science Foundation
safecar.gov,Department of Transportation
safecom.gov,Department of the Interior
safeocs.gov,Department of Transportation
safercar.gov,Department of Transportation
safertruck.gov,Department of Transportation
safetyact.gov,Science and Technology Directorate
salmonrecovery.gov,Department of Energy
sam.gov,General Services Administration
samhsa.gov,Department of Health and Human Services
sandia.gov,Department of Energy
savingsbond.gov,Department of Treasury
savingsbonds.gov,Department of Treasury
savingsbondwizard.gov,Department of Treasury
sba.gov,Small Business Administration
sbir.gov,Small Business Administration
sbst.gov,General Services Administration
schoolsafety.gov,Department of Homeland Security
scidac.gov,Department of Energy
science.gov,Department of Energy
sciencebase.gov,Department of the Interior
scijinks.gov,National Aeronautics and Space Administration
scra.gov,Department of Justice
search.gov,General Services Administration
secretservice.gov,U.S. Secret Service
section508.gov,General Services Administration
segurosocial.gov,Social Security Administration
selectagents.gov,Department of Health and Human Services
selectusa.gov,Department of Commerce
servicemembers.gov,Department of Justice
sftool.gov,General Services Administration
sharetheroadsafely.gov,Department of Transportation
sierrawild.gov,Department of the Interior
sigpr.gov,Department of Treasury
sigtarp.gov,Department of Treasury
simplereport.gov,Department of Health and Human Services
slgs.gov,Department of Treasury
smart.gov,Department of Justice
smartgrid.gov,Department of Energy
smokefree.gov,Department of Health and Human Services
smokefree.gov,National Institutes of Health
sns.gov,Department of Energy
socialsecurity.gov,Social Security Administration
spaceweather.gov,Department of Commerce
spectrum.gov,Department of Commerce
ssa.gov,Social Security Administration
sss.gov,Selective Service System
standards.gov,Department of Commerce
state.gov,Department of State
stopalcoholabuse.gov,Department of Health and Human Services
stopbullying.gov,Department of Health and Human Services
stopfakes.gov,Department of Commerce
stopfraud.gov,Department of Justice
studentaid.gov,Department of Education
studentloans.gov,Department of Education
surgeongeneral.gov,Department of Health and Human Services
sustainability.gov,Environmental Protection Agency
sworm.gov,Department of Commerce
swpa.gov,Department of Energy
taaps.gov,Department of Treasury
tasefiling.gov,Department of Commerce
tax.gov,Department of Treasury
tcis.gov,Department of Treasury
telework.gov,Office of Personnel Management
therealcost.gov,Department of Health and Human Services
thisfreelife.gov,Department of Health and Human Services
tigta.gov,Department of Treasury
time.gov,Department of Commerce
tobacco.gov,Department of Health and Human Services
tox21.gov,Department of Health and Human Services
trade.gov,Department of Commerce
trafficsafetymarketing.gov,Department of Transportation
trainingproviderresults.gov,Department of Labor
transportation.gov,Department of Transportation
treas.gov,Department of Treasury
treaslockbox.gov,Department of Treasury
treasury.fed.us,Department of Treasury
treasury.gov,Department of Treasury
treasuryauctions.gov,Treasury Auction
treasurydirect.gov,Department of Treasury
treasuryecm.gov,Department of Treasury
treasuryhunt.gov,Department of Treasury
treasuryscams.gov,Department of Treasury
tribaljusticeandsafety.gov,Department of Justice
tsa.gov,Department of Homeland Security
tsa.gov,Transportation Security Administration
tsunami.gov,Department of Commerce
ttbonline.gov,Department of Treasury
twai.gov,Department of Treasury
unicor.gov,Department of Justice
unionreports.gov,Department of Labor
unlocktalent.gov,Office of Personnel Management
unrpnet.gov,Department of Energy
urbanwaters.gov,Environmental Protection Agency
us-cert.gov,Department of Homeland Security
us.gov,General Services Administration
usa.gov,General Services Administration
usability.gov,General Services Administration
usagov.gov,General Services Administration
usaid.gov,USAID
usajobs.gov,Office of Personnel Management
usalearning.gov,Office of Personnel Management
usap.gov,National Science Foundation
usaseanconnect.gov,Department of State
usaspending.gov,General Services Administration
usaspending.gov,Department of Treasury
usastaffing.gov,Office of Personnel Management
usbr.gov,Department of the Interior
uscis.gov,US Citizenship and Immigration Services
usconsulate.gov,Department of State
usda.gov,Department of Agriculture
usdebitcard.gov,Department of Treasury
usdigitalservice.gov,Executive Office of the President
usdoj.gov,Department of Justice
usds.gov,Executive Office of the President
usembassy.gov,Department of State
userra.gov,Department of Justice
usgeo.gov,National Aeronautics and Space Administration
usgs.gov,Department of the Interior
usicecenter.gov,Department of Commerce
usmarshals.gov,Department of Justice
usmint.gov,Department of Treasury
usmission.gov,Department of State
usphs.gov,Department of Health and Human Services
uspto.gov,U.S. Patent and Trademark Office
ussm.gov,General Services Administration
usss.gov,U.S. Secret Service
ustda.gov,U.S. Trade and Development Agency
ustr.gov,Executive Office of the President
ustreas.gov,Department of Treasury
utahfireinfo.gov,Department of the Interior
va.gov,Department of Veterans Affairs
vaccines.gov,Department of Health and Human Services
vcf.gov,Department of Justice
vehiclehistory.gov,Department of Justice
veterans.gov,Department of Labor
vets.gov,Department of Veterans Affairs
volcano.gov,Department of the Interior
vote.gov,General Services Administration
wapa.gov,Department of Energy
watermonitor.gov,Department of the Interior
wdol.gov,General Services Administration
weather.gov,Department of Commerce
wh.gov,Executive Office of the President
whaging.gov,Department of Health and Human Services
whistleblowers.gov,Department of Labor
whitehouse.gov,Executive Office of the President
whitehouseconferenceonaging.gov,Department of Health and Human Services
whitehousedrugpolicy.gov,Executive Office of the President
wizard.gov,Department of Treasury
wlci.gov,Department of the Interior
womenshealth.gov,Department of Health and Human Services
worker.gov,Department of Labor
wrp.gov,Department of Labor
xd.gov,Census
youth.gov,Department of Health and Human Services
youthrules.gov,Department of Labor
